Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Promo Cards,SVP064,Arctibax,Cosmos Holo,US/UK,Paradox Rift - 3-Pack Blister,
,Promo Cards,SVP065,Scream Tail,Black Star Promo,US/UK,Paradox Rift - Elite Trainer Box,
,Promo Cards,SVP065,Scream Tail,Pokemon Center Stamp,US/UK,Paradox Rift - Pokemon Center ETB,
,Promo Cards,SVP066,Iron Bundle,Black Star Promo,US/UK,Paradox Rift - Elite Trainer Box,
,Promo Cards,SVP066,Iron Bundle,Pokemon Center Stamp,US/UK,Paradox Rift - Pokemon Center ETB,
,Promo Cards,SVP067,Roaring Moon ex,Black Star Promo,US/UK,Paradox Rift - Roaring Moon ex Box,
,Promo Cards,SVP068,Iron Valiant ex,Black Star Promo,US/UK,Paradox Rift - Iron Valiant ex Box,
,Promo Cards,SVP102,Oddish,Black Star Promo,US/UK,Paradox Rift - Hobby Co-Op Marketing Kit,Ava's Oddish promo card
,MCAP Cards,PAR014,Nymble,Non Holo,US/UK,Twilight Masquerade - Stage 1 Blister,Included with Lokix blister
,MCAP Cards,PAR026,Charcadet,Cosmos Holo,US/UK,Temporal Forces - Armarouge ex Premium Collection,
,MCAP Cards,PAR028,Iron Moth,Cosmos Holo,US/UK,Paradox Rift - Iron Valiant ex Box,
,MCAP Cards,PAR028,Iron Moth,Non Holo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,PAR029,Chi-Yu,Non Holo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,PAR030,Horsea,Non Holo,US/UK,Twilight Masquerade - Premium Checklane Blister,Included with Kingdra blister
,MCAP Cards,PAR031,Seadra,Non Holo,US/UK,Twilight Masquerade - Premium Checklane Blister,Included with Kingdra blister
,MCAP Cards,PAR032,Kingdra,Cosmos Holo,US/UK,Twilight Masquerade - Premium Checklane Blister,
,MCAP Cards,PAR038,Garchomp ex,Reprint,US/UK,Shrouded Fable - Tera Team Premium Collection,
,MCAP Cards,PAR040,Palkia,Cosmos Holo,US/UK,Stellar Crown - Enhanced 2-Pack Blister,Latios Zekrom and Palkia blister
,MCAP Cards,PAR046,Tsareena ex,Holo,US/UK,Surging Sparks - Tsareena ex Premium Collection,Walmart mid-November 2024
,MCAP Cards,PAR049,Golisopod,Non Holo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,PAR057,Chien-Pao,Cosmos Holo,US/UK,Surging Sparks - Scarlet & Violet Knock Out Collection: Alakazam & Chien-Pao,
,MCAP Cards,PAR058,Mewtwo ex,Reprint,US/UK,Shrouded Fable - Tera Team Premium Collection,
,MCAP Cards,PAR066,Zekrom,Cosmos Holo,US/UK,Stellar Crown - Enhanced 2-Pack Blister,Latios Zekrom and Palkia blister
,MCAP Cards,PAR072,Xatu,Non Holo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium | Journey Together - Dragapult ex League Battle Deck,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes | Rereleased promotional card
,MCAP Cards,PAR073,Latios,Cosmos Holo,US/UK,Stellar Crown - Enhanced 2-Pack Blister,Latios Zekrom and Palkia blister
,MCAP Cards,PAR081,Espathra,Cosmos Holo,US/UK,Shrouded Fable - Espathra Two Pack Blister,
,MCAP Cards,PAR081,Espathra,Non Holo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,PAR090,Onix,Non Holo,US/UK,Twilight Masquerade - Stage 1 Blister,Included with Steelix blister
,MCAP Cards,PAR098,Hoopa ex,Reprint,US/UK,Shrouded Fable - Tera Team Premium Collection,
,MCAP Cards,PAR121,Morpeko,Non Holo,US/UK,Temporal Forces - Houndoom & Melmetal ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,PAR122,Lokix,Cosmos Holo,US/UK,Twilight Masquerade - Stage 1 Blister,
,MCAP Cards,PAR122,Lokix,Non Holo,US/UK,Temporal Forces - Houndoom & Melmetal ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,PAR123,Brute Bonnet,Cosmos Holo,US/UK,Paradox Rift - Roaring Moon ex Box,
,MCAP Cards,PAR125,Steelix,Cosmos Holo,US/UK,Twilight Masquerade - Stage 1 Blister,
,MCAP Cards,PAR131,Honedge,Cosmos Holo,Europe,Shrouded Fable - Aegislash ex Box,
,MCAP Cards,PAR132,Doublade,Cosmos Holo,Europe,Shrouded Fable - Aegislash ex Box,
,MCAP Cards,PAR134,Aegislash,Non Holo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,PAR135,Aegislash ex,Holo,Europe,Shrouded Fable - Aegislash ex Box,
,MCAP Cards,PAR136,Zacian,Non Holo,US/UK,Temporal Forces - Houndoom & Melmetal ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,PAR137,Skeledirge ex,Reprint,US/UK,Shrouded Fable - Tera Brawlers Premium Collection,GameStop exclusive
,MCAP Cards,PAR142,Porygon,Non Holo,US/UK,Twilight Masquerade - Premium Checklane Blister,Included with Porygon-Z blister
,MCAP Cards,PAR143,Porygon2,Non Holo,US/UK,Twilight Masquerade - Premium Checklane Blister,Included with Porygon-Z blister
,MCAP Cards,PAR144,Porygon-Z,Cosmos Holo,US/UK,Twilight Masquerade - Premium Checklane Blister,
,MCAP Cards,PAR159,Ancient Booster Energy Capsule,Cosmos Holo,US/UK,Paradox Rift - Roaring Moon ex Box,
,MCAP Cards,PAR164,Future Booster Energy Capsule,Cosmos Holo,US/UK,Paradox Rift - Iron Valiant ex Box,
,Other Cards,PAR155,Maushold ex,Holo,US/UK,Paldean Fates - Paldea Adventure Chest,
,Other Cards,PAR158,Iron Jugulis,Pixel Cosmos,US/UK,Paradox Rift - Scarlet & Violet Knock Out Collection: Iron Jugulis,
